country_id;city_id;name
3159;0;Russia
4;0;Australia
63;0;Austria
81;0;Azerbaijan
173;0;Anguilla
177;0;Argentina
245;0;Armenia
7716093;0;Arulko
248;0;Belarus
401;0;Belize
404;0;Belgium
425;0;Bermuda
428;0;Bulgaria
467;0;Brazil
616;0;Great Britain
924;0;Hungary
971;0;Vietnam
994;0;Haiti
1007;0;Guadeloupe
1012;0;Germany
1206;0;Holland
2567393;0;Honduras
277557;0;Hong Kong
1258;0;Greece
1280;0;Georgia
1366;0;Denmark
2577958;0;Dominican Republic
1380;0;Egypt
1393;0;Israel
1451;0;India
277559;0;Indonesia
277561;0;Jordan
3410238;0;Iraq
1663;0;Iran
1696;0;Irish
1707;0;Spain
1786;0;Italy
1894;0;Kazakhstan
2163;0;Cameroon
2172;0;Canada
582029;0;Caribbean islands
2297;0;Cyprus
2303;0;Kyrgyzstan
2374;0;China
582040;0;Korea
2430;0;Costa Rica
582077;0;Cuba
2443;0;Kuwait
2448;0;Latvia
2505884;0;Lebanon
582060;0;Lebanon
2509;0;Libya
2514;0;Lithuania
2614;0;Luxembourg
582041;0;Macedonia
277563;0;Malaysia
582043;0;Malta
2617;0;Mexico
582082;0;Mozambique
2788;0;Moldova
2833;0;Monaco
2687701;0;Mongolia
582065;0;Morocco
277551;0;Netherlands
2837;0;New Zealand
2880;0;Norway
582051;0;O.A.E.
582105;0;Isle of Man
582044;0;Pakistan
582046;0;Peru
2897;0;Poland
3141;0;Portugal
3156;0;Reunion
277555;0;Romania
5681;0;USA
5647;0;El Salvador
277565;0;Singapore
582067;0;Syria
5666;0;Slovakia
5673;0;Slovenia
5678;0;Suriname
9575;0;Tadjikistan
277567;0;Taiwan
582050;0;Thailand
582090;0;Tunisia
9638;0;Turkmenistan
277569;0;Turkmenistan
9701;0;Turks and Caicos
9705;0;Turkey
9782;0;Uganda
9787;0;Uzbekistan
9908;0;Ukraine
10648;0;Finland
10668;0;France
277553;0;Croatia
10874;0;Czech
582031;0;Chile
10904;0;Switzerland
10933;0;Sweden
582064;0;Ecuador
10968;0;Estonia
3661568;0;South AFRICA
11002;0;Yugoslavia
11014;0;South Korea
582106;0;Jamaica
11060;0;Japan
